1;Chai;828
2;Chang;1057
3;Aniseed Syrup;328
4;Chef Anton's Cajun Seasoning;453
5;Chef Anton's Gumbo Mix;298
6;Grandma's Boysenberry Spread;301
7;Uncle Bob's Organic Dried Pears;763
8;Northwoods Cranberry Sauce;372
9;Mishi Kobe Niku;95
10;Ikura;742
11;Queso Cabrales;706
12;Queso Manchego La Pastora;344
13;Konbu;891
14;Tofu;404
15;Genen Shouyu;122
16;Pavlova;1158
17;Alice Mutton;978
18;Carnarvon Tigers;539
19;Teatime Chocolate Biscuits;723
20;Sir Rodney's Marmalade;313
21;Sir Rodney's Scones;1016
22;Gustaf's Knäckebröd;348
23;Tunnbröd;580
24;Guaraná Fantástica;1125
25;NuNuCa Nuß-Nougat-Creme;318
26;Gumbär Gummibärchen;753
27;Schoggi Schokolade;365
28;Rössle Sauerkraut;640
29;Thüringer Rostbratwurst;746
30;Nord-Ost Matjeshering;612
31;Gorgonzola Telino;1397
32;Mascarpone Fabioli;297
33;Geitost;755
34;Sasquatch Ale;506
35;Steeleye Stout;883
36;Inlagd Sill;805
37;Gravad lax;125
38;Côte de Blaye;623
39;Chartreuse verte;793
40;Boston Crab Meat;1103
41;Jack's New England Clam Chowder;981
42;Singaporean Hokkien Fried Mee;697
43;Ipoh Coffee;580
44;Gula Malacca;601
45;Rogede sild;508
46;Spegesild;548
47;Zaanse koeken;485
48;Chocolade;138
49;Maxilaku;520
50;Valkoinen suklaa;235
51;Manjimup Dried Apples;886
52;Filo Mix;500
53;Perth Pasties;722
54;Tourtière;755
55;Pâté chinois;903
56;Gnocchi di nonna Alice;1263
57;Ravioli Angelo;434
58;Escargots de Bourgogne;534
59;Raclette Courdavault;1496
60;Camembert Pierrot;1577
61;Sirop d'érable;603
62;Tarte au sucre;1083
63;Vegie-spread;445
64;Wimmers gute Semmelknödel;740
65;Louisiana Fiery Hot Pepper Sauce;745
66;Louisiana Hot Spiced Okra;239
67;Laughing Lumberjack Lager;184
68;Scottish Longbreads;799
69;Gudbrandsdalsost;714
70;Outback Lager;817
71;Flotemysost;1057
72;Mozzarella di Giovanni;806
73;Röd Kaviar;293
74;Longlife Tofu;297
75;Rhönbräu Klosterbier;1155
76;Lakkalikööri;981
77;Original Frankfurter grüne Soße;791
